dropout,lr,weight_decay,scheduler,unlocked,val_accuracy,val_precision,val_recall,val_f1,test_accuracy,test_precision,test_recall,test_f1
0.0,0.01,0,none,False,0.7066666666666667,0.6862281976744187,0.705,0.688737973967176,0.7633333333333333,0.7338424797253595,0.735,0.7344106534994201
0.0,0.01,0,none,True,0.7,0.68431936702032,0.705,0.6847414880201765,0.7266666666666667,0.6991191904047975,0.7125,0.7034143518518519
0.0,0.01,0,StepLR,False,0.74,0.7063492063492063,0.6950000000000001,0.6996148908857509,0.7433333333333333,0.7177951444494267,0.67,0.6805465281907317
0.0,0.01,0,StepLR,True,0.74,0.709103287298191,0.7150000000000001,0.7116948400768813,0.7566666666666667,0.7311111111111112,0.6950000000000001,0.705546218487395
0.0,0.01,0,LinearLR,False,0.76,0.7449682203389831,0.685,0.6979189975385993,0.7633333333333333,0.7673592544496219,0.6749999999999999,0.6885555116901347
0.0,0.01,0,LinearLR,True,0.76,0.8156565656565656,0.65,0.657707910750507,0.7633333333333333,0.8404834865509023,0.65,0.6570655761459323
0.0,0.01,0,ExponentialLR,False,0.7333333333333333,0.7,0.7,0.7,0.7633333333333333,0.7367664468121089,0.71,0.719141866322077
0.0,0.01,0,ExponentialLR,True,0.7333333333333333,0.7,0.7,0.7,0.75,0.7213033603168133,0.69,0.6994831109508355
0.0,0.01,0,CosineAnnealingLR,False,0.7466666666666667,0.7150000000000001,0.7150000000000001,0.7150000000000001,0.75,0.7205166389827595,0.6925,0.7014291590918138
0.0,0.01,0,CosineAnnealingLR,True,0.7466666666666667,0.7184650455927051,0.73,0.7228165726512352,0.7433333333333333,0.710458151206087,0.6950000000000001,0.7008973080757728
0.0,0.01,0.1,none,False,0.6666666666666666,0.3333333333333333,0.5,0.4,0.6666666666666666,0.3333333333333333,0.5,0.4
0.0,0.01,0.1,none,True,0.6666666666666666,0.3333333333333333,0.5,0.4,0.6666666666666666,0.3333333333333333,0.5,0.4
0.0,0.01,0.1,StepLR,False,0.6666666666666666,0.3333333333333333,0.5,0.4,0.6666666666666666,0.3333333333333333,0.5,0.4
0.0,0.01,0.1,StepLR,True,0.6666666666666666,0.3333333333333333,0.5,0.4,0.6666666666666666,0.3333333333333333,0.5,0.4
0.0,0.01,0.1,LinearLR,False,0.6666666666666666,0.3333333333333333,0.5,0.4,0.6666666666666666,0.3333333333333333,0.5,0.4
0.0,0.01,0.1,LinearLR,True,0.6666666666666666,0.3333333333333333,0.5,0.4,0.6666666666666666,0.3333333333333333,0.5,0.4
0.0,0.01,0.1,ExponentialLR,False,0.6666666666666666,0.3333333333333333,0.5,0.4,0.6666666666666666,0.3333333333333333,0.5,0.4
0.0,0.01,0.1,ExponentialLR,True,0.6666666666666666,0.3333333333333333,0.5,0.4,0.6666666666666666,0.3333333333333333,0.5,0.4
0.0,0.01,0.1,CosineAnnealingLR,False,0.6666666666666666,0.3333333333333333,0.5,0.4,0.6666666666666666,0.3333333333333333,0.5,0.4
0.0,0.01,0.1,CosineAnnealingLR,True,0.6666666666666666,0.3333333333333333,0.5,0.4,0.6666666666666666,0.3333333333333333,0.5,0.4
0.0,0.01,0.01,none,False,0.6666666666666666,0.3333333333333333,0.5,0.4,0.6666666666666666,0.3333333333333333,0.5,0.4
0.0,0.01,0.01,none,True,0.6666666666666666,0.3333333333333333,0.5,0.4,0.6666666666666666,0.3333333333333333,0.5,0.4
0.0,0.01,0.01,StepLR,False,0.6666666666666666,0.3333333333333333,0.5,0.4,0.6666666666666666,0.3333333333333333,0.5,0.4
0.0,0.01,0.01,StepLR,True,0.6666666666666666,0.3333333333333333,0.5,0.4,0.6666666666666666,0.3333333333333333,0.5,0.4
0.0,0.01,0.01,LinearLR,False,0.6666666666666666,0.3333333333333333,0.5,0.4,0.6666666666666666,0.3333333333333333,0.5,0.4
0.0,0.01,0.01,LinearLR,True,0.6666666666666666,0.3333333333333333,0.5,0.4,0.6666666666666666,0.3333333333333333,0.5,0.4
0.0,0.01,0.01,ExponentialLR,False,0.6666666666666666,0.3333333333333333,0.5,0.4,0.6666666666666666,0.3333333333333333,0.5,0.4
0.0,0.01,0.01,ExponentialLR,True,0.6666666666666666,0.3333333333333333,0.5,0.4,0.6666666666666666,0.3333333333333333,0.5,0.4
0.0,0.01,0.01,CosineAnnealingLR,False,0.6666666666666666,0.3333333333333333,0.5,0.4,0.6666666666666666,0.3333333333333333,0.5,0.4
0.0,0.01,0.01,CosineAnnealingLR,True,0.6666666666666666,0.3333333333333333,0.5,0.4,0.6666666666666666,0.3333333333333333,0.5,0.4
0.0,0.01,0.001,none,False,0.74,0.7962962962962963,0.62,0.6170212765957447,0.75,0.8064351378958121,0.635,0.6377453269147172
0.0,0.01,0.001,none,True,0.7733333333333333,0.745,0.745,0.745,0.7466666666666667,0.7153725665697024,0.6925,0.7002997002997003
0.0,0.01,0.001,StepLR,False,0.74,0.7189381499726327,0.74,0.723155553452274,0.74,0.7075,0.7075,0.7075
0.0,0.01,0.001,StepLR,True,0.78,0.7525762780359668,0.75,0.7512437810945274,0.7466666666666667,0.7165627165627166,0.6875,0.6964694605676554
0.0,0.01,0.001,LinearLR,False,0.7666666666666667,0.7909962341663814,0.6699999999999999,0.6831814615895239,0.76,0.7781581650119822,0.6625,0.6741295033492245
0.0,0.01,0.001,LinearLR,True,0.7866666666666666,0.8224206349206349,0.695,0.7129873236067926,0.7566666666666667,0.787221018928336,0.6525,0.6616140546052937
