dropout,lr,weight_decay,scheduler,unlocked,val_accuracy,val_precision,val_recall,val_f1,test_accuracy,test_precision,test_recall,test_f1
0.0,0.01,0,none,False,0.7666666666666667,0.7405459834414858,0.7150000000000001,0.7239602502760398,0.84,0.8328485119713582,0.7975000000000001,0.8107156001892843
0.0,0.01,0,none,True,0.7733333333333333,0.7525845864661653,0.7150000000000001,0.7266295025728988,0.8233333333333334,0.8075926825319735,0.785,0.7941241211430643
0.0,0.01,0,StepLR,False,0.7533333333333333,0.7237637055269636,0.7,0.7081865502918134,0.8333333333333334,0.8189322469982847,0.7975,0.8063416649452593
0.0,0.01,0,StepLR,True,0.78,0.7598752598752598,0.7250000000000001,0.7364076894403323,0.8233333333333334,0.8109211037699184,0.78,0.7916420961591383
0.0,0.01,0,LinearLR,False,0.7866666666666666,0.7702067669172932,0.73,0.7427101200686106,0.82,0.8096590909090908,0.7725,0.7857142857142857
0.0,0.01,0,LinearLR,True,0.7733333333333333,0.748015873015873,0.725,0.7334866220735786,0.8233333333333334,0.8061930880238564,0.7875000000000001,0.7953114741435909
0.0,0.01,0,ExponentialLR,False,0.7866666666666666,0.7645502645502645,0.74,0.7491638795986622,0.83,0.8156872268091306,0.7925,0.8018930222320053
0.0,0.01,0,ExponentialLR,True,0.8,0.7840909090909092,0.75,0.7619047619047619,0.8166666666666667,0.7994981382548163,0.7775000000000001,0.7863552200541234
0.0,0.01,0,CosineAnnealingLR,False,0.76,0.7349624060150376,0.7,0.710548885077187,0.8133333333333334,0.7961312758096066,0.7725,0.781829515349852
0.0,0.01,0,CosineAnnealingLR,True,0.76,0.7314814814814814,0.71,0.717809364548495,0.8133333333333334,0.8011363636363636,0.765,0.7777777777777778
0.0,0.01,0.1,none,False,0.6666666666666666,0.3333333333333333,0.5,0.4,0.6666666666666666,0.3333333333333333,0.5,0.4
0.0,0.01,0.1,none,True,0.6666666666666666,0.3333333333333333,0.5,0.4,0.6666666666666666,0.3333333333333333,0.5,0.4
0.0,0.01,0.1,StepLR,False,0.6666666666666666,0.3333333333333333,0.5,0.4,0.6666666666666666,0.3333333333333333,0.5,0.4
0.0,0.01,0.1,StepLR,True,0.6666666666666666,0.3333333333333333,0.5,0.4,0.6666666666666666,0.3333333333333333,0.5,0.4
0.0,0.01,0.1,LinearLR,False,0.6666666666666666,0.3333333333333333,0.5,0.4,0.6666666666666666,0.3333333333333333,0.5,0.4
0.0,0.01,0.1,LinearLR,True,0.6666666666666666,0.3333333333333333,0.5,0.4,0.6666666666666666,0.3333333333333333,0.5,0.4
0.0,0.01,0.1,ExponentialLR,False,0.6666666666666666,0.3333333333333333,0.5,0.4,0.6666666666666666,0.3333333333333333,0.5,0.4
0.0,0.01,0.1,ExponentialLR,True,0.6666666666666666,0.3333333333333333,0.5,0.4,0.6666666666666666,0.3333333333333333,0.5,0.4
0.0,0.01,0.1,CosineAnnealingLR,False,0.6666666666666666,0.3333333333333333,0.5,0.4,0.6666666666666666,0.3333333333333333,0.5,0.4
0.0,0.01,0.1,CosineAnnealingLR,True,0.6666666666666666,0.3333333333333333,0.5,0.4,0.6666666666666666,0.3333333333333333,0.5,0.4
0.0,0.01,0.01,none,False,0.68,0.6696428571428571,0.69,0.6666666666666666,0.72,0.6998546511627908,0.72,0.7028862478777589
0.0,0.01,0.01,none,True,0.7733333333333333,0.7525845864661653,0.7150000000000001,0.7266295025728988,0.7866666666666666,0.7741228070175439,0.7250000000000001,0.7391871332319061
0.0,0.01,0.01,StepLR,False,0.7466666666666667,0.7291666666666666,0.665,0.6761363636363636,0.7766666666666666,0.7815681178254278,0.695,0.7110034363272995
0.0,0.01,0.01,StepLR,True,0.76,0.7840909090909092,0.6599999999999999,0.6710526315789473,0.7766666666666666,0.8212378970228938,0.6775,0.6924301081850316
0.0,0.01,0.01,LinearLR,False,0.7466666666666667,0.7245234604105573,0.745,0.7292933130699089,0.7933333333333333,0.7675,0.7675,0.7675
0.0,0.01,0.01,LinearLR,True,0.74,0.7962962962962963,0.62,0.6170212765957447,0.75,0.8177839069432786,0.6325000000000001,0.6337831019385081
0.0,0.01,0.01,ExponentialLR,False,0.7533333333333333,0.7768549280177187,0.65,0.6586505935174365,0.7533333333333333,0.7604166666666667,0.6575,0.668141592920354
0.0,0.01,0.01,ExponentialLR,True,0.7466666666666667,0.8282563025210083,0.625,0.6226165254237288,0.76,0.8156565656565656,0.65,0.657707910750507
0.0,0.01,0.01,CosineAnnealingLR,False,0.74,0.7764263600176913,0.625,0.6252642367561334,0.7466666666666667,0.7930119416187528,0.6325,0.6348728460700788
0.0,0.01,0.01,CosineAnnealingLR,True,0.7533333333333333,0.7768549280177187,0.65,0.6586505935174365,0.7566666666666667,0.780517600217175,0.655,0.6648865357836912
0.0,0.01,0.001,none,False,0.7666666666666667,0.7375542243338153,0.73,0.7333807323142552,0.7966666666666666,0.771697729927378,0.7675000000000001,0.7694952828406243
0.0,0.01,0.001,none,True,0.7933333333333333,0.7810332456350155,0.7350000000000001,0.7490691274081269,0.79,0.7775933860358457,0.73,0.74414858334123
0.0,0.01,0.001,StepLR,False,0.7466666666666667,0.7218559837728196,0.675,0.6858465608465609,0.79,0.7850554096470437,0.7225,0.7386289776105988
0.0,0.01,0.001,StepLR,True,0.7466666666666667,0.7574573863636364,0.645,0.6527777777777778,0.77,0.8006535947712419,0.6725,0.6862447896930656
0.0,0.01,0.001,LinearLR,False,0.74,0.7611490558457212,0.63,0.6329757199322417,0.76,0.7980769230769231,0.655,0.6645962732919255
